100pF,1,"C1",~
10nF,1,"C5",~
100nF,1,"C2",~
220nF,1,"C3",~
470nF,1,"C4",~
10uF,2,"CP6 CP7",~
1N4148,2,"D1 D2",~
LED_DUAL7SEG_ACDA04,2,"DS1 DS2",
TP1,1,"J1",
MEAS,1,"J2",
PWR_IN,1,"J3",
HEADER_3,1,"J4",
TP3,1,"J5",
TP2,1,"J6",
TP5,1,"J7",
TP4,1,"J8",
220,1,"R5",~
10k,1,"R6",~
15K,1,"R4",~
47k,1,"R2",~
100k,2,"R1 R3",~
10K,1,"RV1",~
ICL7107CM44Z,1,"U1",
ICL7660CBAZ,1,"U2",
